id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,matematicasCategoria,comprension_lectoraCategoria,cienciasCategoria,indice_socioeconomicoCategoria,rendimiento_general,rendimiento_general_categoria
16,4,4,1,0,0,293.584,186.054,316.434,1,1,1,1,-1.1245,Bajo,Bajo,Medio,Medio,265.3573333333334,Bajo
17,4,3,0,0,1,505.004,510.963,477.384,0,1,0,2,-1.301,Alto,Alto,Medio,Medio,497.7836666666667,Alto
18,4,4,1,0,1,401.199,413.869,370.435,1,1,1,3,0.1058,Medio,Medio,Medio,Alto,395.16766666666666,Medio
19,3,2,1,0,0,335.844,374.885,362.974,0,1,1,2,-2.4272,Medio,Medio,Medio,Bajo,357.901,Medio
20,5,2,1,1,1,277.704,344.997,240.192,1,1,1,2,0.6574,Bajo,Medio,Bajo,Alto,287.63100000000003,Bajo
21,2,1,1,0,1,315.25,353.363,441.033,1,1,0,1,-2.6577,Bajo,Medio,Medio,Bajo,369.88200000000006,Medio
22,2,4,0,1,1,431.71,431.381,440.08,0,1,1,1,-1.0603,Medio,Medio,Medio,Medio,434.3903333333333,Medio
23,5,4,0,1,1,570.546,476.157,527.86,1,1,1,3,0.9332,Alto,Medio,Alto,Alto,524.8543333333333,Alto
24,3,1,0,0,1,366.837,323.234,423.197,1,1,1,1,-1.9762,Medio,Medio,Medio,Medio,371.08933333333334,Medio
25,3,3,1,0,0,397.216,407.858,381.1,0,1,0,1,-1.4326,Medio,Medio,Medio,Medio,395.3913333333333,Medio
26,5,5,1,0,1,515.861,636.417,554.957,1,1,1,4,0.9105,Alto,Alto,Alto,Alto,569.0783333333334,Alto
27,5,5,1,1,1,394.531,456.28,391.518,1,1,1,1,0.1352,Medio,Medio,Medio,Alto,414.10966666666667,Medio
28,3,3,0,0,1,435.129,434.736,406.82,0,1,0,1,-2.5779,Medio,Medio,Medio,Bajo,425.56166666666667,Medio
29,2,3,0,1,1,336.165,346.916,402.848,1,1,1,3,-1.6092,Medio,Medio,Medio,Medio,361.97633333333334,Medio
30,2,3,0,0,1,358.774,475.284,424.962,1,1,0,3,-1.706,Medio,Medio,Medio,Medio,419.67333333333335,Medio
31,3,3,0,0,0,358.438,334.134,337.322,1,1,0,1,-2.5064,Medio,Medio,Medio,Bajo,343.298,Medio
32,4,4,1,0,1,376.443,448.135,447.809,0,1,1,2,0.3497,Medio,Medio,Medio,Alto,424.12899999999996,Medio
33,2,2,0,0,1,382.814,421.914,427.19,0,1,0,1,-3.2966,Medio,Medio,Medio,Bajo,410.63933333333335,Medio
34,4,4,1,0,1,382.689,461.597,414.85,1,1,1,1,-0.5556,Medio,Medio,Medio,Medio,419.712,Medio
35,4,5,0,1,1,553.509,529.394,537.016,0,1,0,2,0.2312,Alto,Alto,Alto,Alto,539.973,Alto
36,3,3,0,0,0,441.627,442.369,505.831,1,1,1,6,-0.9095,Medio,Medio,Alto,Medio,463.2756666666667,Medio
37,3,3,1,0,1,348.346,376.872,411.738,1,1,0,1,-2.1732,Medio,Medio,Medio,Medio,378.98533333333336,Medio
38,2,4,1,0,1,445.002,519.857,446.364,0,1,0,1,-1.5342,Medio,Alto,Medio,Medio,470.40766666666667,Medio
39,4,4,1,0,1,400.385,474.36,415.338,0,1,0,1,-1.7047,Medio,Medio,Medio,Medio,430.0276666666667,Medio
40,3,4,1,0,0,305.434,341.451,340.416,0,1,0,1,-2.1653,Bajo,Medio,Medio,Medio,329.1003333333333,Medio
41,3,2,1,0,1,429.471,428.239,407.597,1,1,0,0,-2.4784,Medio,Medio,Medio,Bajo,421.769,Medio
42,4,4,0,0,1,365.98,372.069,416.054,1,1,1,2,0.6457,Medio,Medio,Medio,Alto,384.701,Medio
43,4,4,0,0,1,322.498,510.316,400.729,0,1,1,2,-0.6693,Bajo,Alto,Medio,Medio,411.181,Medio
44,5,4,0,1,1,460.753,593.661,450.058,0,1,1,3,-0.1042,Medio,Alto,Medio,Medio,501.49066666666664,Alto
45,5,4,1,0,1,370.213,372.705,360.173,1,1,1,0,-0.1592,Medio,Medio,Medio,Medio,367.69699999999995,Medio
46,3,4,1,0,1,381.655,451.292,389.644,1,1,0,0,-1.5604,Medio,Medio,Medio,Medio,407.5303333333333,Medio
47,4,4,0,0,1,464.803,494.943,498.554,1,1,1,3,-0.9919,Medio,Medio,Alto,Medio,486.09999999999997,Alto
48,1,1,0,0,1,453.32,511.674,502.476,1,1,1,0,-3.1076,Medio,Alto,Alto,Bajo,489.1566666666666,Alto
49,3,4,0,0,1,344.9,282.323,364.711,0,1,0,3,-1.3347,Medio,Bajo,Medio,Medio,330.64466666666664,Medio
50,3,3,1,0,1,402.413,383.051,388.342,1,1,1,2,-2.1082,Medio,Medio,Medio,Medio,391.26866666666666,Medio
51,4,5,1,1,1,385.61,415.736,389.678,0,1,1,1,0.0056,Medio,Medio,Medio,Alto,397.008,Medio
52,4,5,1,0,1,279.229,310.131,347.876,0,1,1,0,-0.1929,Bajo,Bajo,Medio,Medio,312.412,Bajo
53,4,4,1,0,1,423.126,462.154,438.612,1,1,1,1,0.5029,Medio,Medio,Medio,Alto,441.29733333333337,Medio
54,4,3,1,0,1,355.047,438.007,387.633,0,1,0,1,-1.6535,Medio,Medio,Medio,Medio,393.56233333333336,Medio
55,3,1,0,0,1,465.774,428.194,468.526,0,1,1,4,-1.6755,Medio,Medio,Medio,Medio,454.16466666666673,Medio
56,5,3,0,0,1,451.563,443.359,543.698,1,1,1,1,-0.1094,Medio,Medio,Alto,Medio,479.53999999999996,Alto
57,5,4,0,0,1,399.061,407.449,402.966,0,1,0,1,-0.9321,Medio,Medio,Medio,Medio,403.1586666666667,Medio
58,3,4,0,0,1,408.501,460.075,383.703,1,1,0,0,-0.3631,Medio,Medio,Medio,Medio,417.42633333333333,Medio
59,4,4,0,0,1,365.036,351.758,327.588,0,1,0,1,-1.547,Medio,Medio,Medio,Medio,348.12733333333335,Medio
60,2,3,0,1,1,498.177,565.891,518.089,1,1,1,1,-1.4781,Alto,Alto,Alto,Medio,527.3856666666667,Alto
61,4,5,0,1,1,384.437,403.109,389.65,1,1,1,2,0.8813,Medio,Medio,Medio,Alto,392.39866666666666,Medio
62,5,4,1,1,1,403.814,420.354,441.485,1,1,1,2,0.8828,Medio,Medio,Medio,Alto,421.88433333333336,Medio
63,3,4,0,0,1,453.522,504.309,475.12,1,1,1,1,-1.5552,Medio,Alto,Medio,Medio,477.6503333333333,Medio
64,1,1,1,0,0,468.864,495.308,397.452,1,1,1,1,-3.3907,Medio,Medio,Medio,Bajo,453.87466666666666,Medio
65,4,2,1,0,0,329.146,298.946,349.842,0,1,1,2,-0.3659,Bajo,Bajo,Medio,Medio,325.978,Medio
66,4,3,1,0,1,476.95,548.87,476.977,1,1,1,2,-0.5355,Medio,Alto,Medio,Medio,500.93233333333336,Alto
67,3,3,1,0,1,351.241,449.533,437.915,0,1,1,0,-1.7218,Medio,Medio,Medio,Medio,412.89633333333336,Medio
68,4,2,1,1,1,522.84,574.789,514.903,1,1,1,1,-0.0492,Alto,Alto,Alto,Alto,537.5106666666667,Alto
69,1,4,1,0,1,284.767,272.873,309.409,0,0,1,1,-1.9998,Bajo,Bajo,Bajo,Medio,289.0163333333333,Bajo
70,3,4,0,0,1,312.055,306.07,304.84,0,1,0,2,-0.9807,Bajo,Bajo,Bajo,Medio,307.655,Bajo
71,4,2,1,0,1,447.768,466.12,453.333,0,1,0,1,-2.0594,Medio,Medio,Medio,Medio,455.74033333333335,Medio
72,4,3,0,1,1,461.668,420.961,442.961,1,1,0,1,-1.6426,Medio,Medio,Medio,Medio,441.8633333333334,Medio
73,5,4,1,0,1,412.379,467.384,420.433,1,1,1,3,0.5125,Medio,Medio,Medio,Alto,433.39866666666666,Medio
74,3,3,0,0,1,427.041,439.311,427.883,0,1,0,2,-1.8041,Medio,Medio,Medio,Medio,431.41166666666663,Medio
75,5,5,1,1,1,366.931,327.402,427.849,1,1,1,6,1.1786,Medio,Medio,Medio,Alto,374.0606666666667,Medio
76,4,4,1,0,1,430.973,498.608,470.792,1,1,1,3,1.0805,Medio,Alto,Medio,Alto,466.791,Medio
77,4,3,1,0,1,435.322,489.9,479.696,1,1,1,1,-0.614,Medio,Medio,Medio,Medio,468.30600000000004,Medio
78,4,4,0,0,1,472.958,438.406,438.777,1,1,1,2,-1.1225,Medio,Medio,Medio,Medio,450.047,Medio
79,3,2,1,0,0,478.9,498.081,447.033,0,0,0,1,-2.4263,Medio,Alto,Medio,Bajo,474.6713333333334,Medio
80,2,2,0,0,1,410.953,379.104,451.857,1,1,1,0,-1.9556,Medio,Medio,Medio,Medio,413.97133333333335,Medio
81,5,2,1,0,1,370.535,346.729,384.93,1,1,1,1,-1.654,Medio,Medio,Medio,Medio,367.39799999999997,Medio
82,3,5,0,1,1,406.787,369.255,404.729,1,1,1,1,-0.9191,Medio,Medio,Medio,Medio,393.5903333333333,Medio
83,4,4,1,0,1,448.728,479.85,443.428,0,1,1,1,-0.664,Medio,Medio,Medio,Medio,457.33533333333327,Medio
84,3,3,0,0,1,490.34,501.088,536.208,0,1,0,3,-1.7205,Medio,Alto,Alto,Medio,509.212,Alto
85,4,5,0,1,1,355.879,407.552,420.374,1,1,0,2,0.1411,Medio,Medio,Medio,Alto,394.6016666666667,Medio
86,4,4,0,0,1,405.451,400.531,361.014,1,1,1,3,-0.3607,Medio,Medio,Medio,Medio,388.9986666666667,Medio
87,4,5,0,0,0,373.819,408.043,411.65,0,0,0,1,-0.4061,Medio,Medio,Medio,Medio,397.8373333333334,Medio
88,2,2,0,0,0,379.285,355.938,337.959,0,1,0,1,-3.3937,Medio,Medio,Medio,Bajo,357.7273333333333,Medio
89,5,5,0,1,1,423.145,463.251,533.978,1,1,1,2,0.5278,Medio,Medio,Alto,Alto,473.4579999999999,Medio
90,3,3,1,0,1,309.927,371.421,391.035,1,1,1,1,-0.8523,Bajo,Medio,Medio,Medio,357.461,Medio
91,3,3,1,1,1,342.602,299.223,339.717,0,1,1,1,-1.9242,Medio,Bajo,Medio,Medio,327.1806666666667,Medio
92,4,4,0,0,1,297.649,390.282,348.771,0,1,0,1,-1.6133,Bajo,Medio,Medio,Medio,345.56733333333335,Medio
93,2,2,0,0,1,503.637,538.245,505.895,1,1,1,0,-2.0887,Alto,Alto,Alto,Medio,515.9256666666666,Alto
94,3,4,1,0,1,450.751,497.122,474.388,1,1,1,1,0.5733,Medio,Alto,Medio,Alto,474.087,Medio
95,5,5,1,0,1,507.513,514.122,520.919,1,1,1,4,1.3446,Alto,Alto,Alto,Alto,514.1846666666667,Alto
96,4,4,0,1,1,638.274,565.763,588.775,1,1,1,2,-0.5626,Alto,Alto,Alto,Medio,597.6039999999999,Alto
97,4,4,1,1,1,542.366,559.583,548.343,1,0,1,3,-0.2702,Alto,Alto,Alto,Medio,550.0973333333333,Alto
98,2,2,1,0,1,321.927,340.69,310.762,0,1,0,2,-2.6345,Bajo,Medio,Medio,Bajo,324.45966666666664,Bajo
99,4,4,1,0,1,463.327,549.511,448.387,1,1,1,2,0.6745,Medio,Alto,Medio,Alto,487.075,Alto
100,4,4,0,0,0,302.946,323.28,325.046,1,1,0,0,-1.9637,Bajo,Medio,Medio,Medio,317.09066666666666,Bajo
101,3,3,0,0,1,291.079,284.152,307.06,0,1,1,3,-2.2238,Bajo,Bajo,Bajo,Bajo,294.097,Bajo
102,5,5,0,0,1,468.125,446.865,503.947,0,1,1,3,0.8258,Medio,Medio,Alto,Alto,472.979,Medio
103,5,3,1,1,1,400.946,433.693,464.999,0,1,0,2,-0.7837,Medio,Medio,Medio,Medio,433.2126666666666,Medio
104,3,3,1,0,0,297.69,353.278,242.099,1,1,1,0,-0.7858,Bajo,Medio,Bajo,Medio,297.689,Bajo
105,3,4,0,0,1,411.864,427.092,395.895,0,1,1,2,-1.8706,Medio,Medio,Medio,Medio,411.61699999999996,Medio
106,3,3,0,0,1,530.289,519.726,541.824,0,1,1,1,-2.2628,Alto,Alto,Alto,Bajo,530.6129999999999,Alto
107,4,4,0,1,1,504.74,593.374,453.302,0,1,1,1,-1.069,Alto,Alto,Medio,Medio,517.1386666666667,Alto
108,3,3,1,0,1,391.311,445.508,383.154,0,1,0,6,-2.1907,Medio,Medio,Medio,Medio,406.65766666666667,Medio
109,4,0,1,1,1,420.371,411.782,488.43,0,1,1,1,-1.5553,Medio,Medio,Alto,Medio,440.19433333333336,Medio
110,4,4,0,0,1,376.775,354.171,364.803,1,1,1,2,-0.5835,Medio,Medio,Medio,Medio,365.2496666666666,Medio
111,4,3,0,0,0,320.463,290.439,326.893,1,1,1,1,-1.4416,Bajo,Bajo,Medio,Medio,312.59833333333336,Bajo
112,4,4,0,1,1,505.171,524.796,550.162,1,1,1,2,0.8152,Alto,Alto,Alto,Alto,526.7096666666667,Alto
113,5,4,0,1,1,330.451,392.991,407.28,1,1,1,0,1.1744,Bajo,Medio,Medio,Alto,376.9073333333333,Medio
114,3,3,0,0,1,352.665,327.978,374.232,0,1,1,0,-1.6849,Medio,Medio,Medio,Medio,351.625,Medio
115,4,2,0,0,1,287.863,333.137,326.565,1,1,1,2,-0.8849,Bajo,Medio,Medio,Medio,315.855,Bajo
116,4,4,1,1,1,379.748,428.446,437.412,1,1,1,3,0.8774,Medio,Medio,Medio,Alto,415.202,Medio
117,4,0,1,1,1,538.271,563.613,536.173,1,1,1,4,0.6309,Alto,Alto,Alto,Alto,546.019,Alto
118,3,4,0,0,1,391.328,446.061,381.281,1,1,1,1,0.2687,Medio,Medio,Medio,Alto,406.2233333333333,Medio
119,3,3,1,0,1,370.899,351.537,342.349,1,1,1,3,-1.782,Medio,Medio,Medio,Medio,354.9283333333333,Medio
120,4,4,0,1,1,451.244,472.145,520.944,0,1,1,1,-0.92,Medio,Medio,Alto,Medio,481.44433333333336,Alto
121,2,2,1,0,1,263.13,324.341,284.047,1,1,1,0,-1.639,Bajo,Medio,Bajo,Medio,290.50600000000003,Bajo
122,3,4,0,1,1,362.584,380.143,409.339,1,1,0,2,0.9946,Medio,Medio,Medio,Alto,384.022,Medio
123,4,3,1,0,1,443.473,507.0,450.236,0,1,0,2,-1.334,Medio,Alto,Medio,Medio,466.90299999999996,Medio
124,3,3,1,0,1,390.528,466.083,448.638,0,1,1,1,-1.6617,Medio,Medio,Medio,Medio,435.083,Medio
125,5,3,1,0,1,344.525,353.123,320.799,1,1,0,1,0.063,Medio,Medio,Medio,Alto,339.4823333333333,Medio
126,4,4,0,1,1,438.151,451.549,478.984,1,1,1,1,-0.7004,Medio,Medio,Medio,Medio,456.228,Medio
127,2,2,1,0,0,411.874,463.983,438.468,1,1,0,1,-2.8721,Medio,Medio,Medio,Bajo,438.10833333333335,Medio
128,3,4,1,0,1,394.312,450.481,400.757,1,1,1,1,-0.5946,Medio,Medio,Medio,Medio,415.18333333333334,Medio
129,5,5,1,1,1,384.662,407.886,452.553,1,1,1,6,1.0682,Medio,Medio,Medio,Alto,415.0336666666667,Medio
130,2,3,1,0,0,394.743,391.505,418.285,1,1,1,2,-0.7669,Medio,Medio,Medio,Medio,401.511,Medio
131,3,3,1,1,1,305.241,256.55,251.05,1,1,0,3,-1.3565,Bajo,Bajo,Bajo,Medio,270.94699999999995,Bajo
132,5,3,0,0,1,335.798,445.558,398.998,1,1,1,2,-1.0177,Medio,Medio,Medio,Medio,393.45133333333337,Medio
133,3,2,0,1,1,348.309,349.403,361.427,0,1,1,3,-1.4678,Medio,Medio,Medio,Medio,353.0463333333334,Medio
134,5,4,0,1,1,488.867,471.667,527.21,0,1,1,0,-0.507,Medio,Medio,Alto,Medio,495.91466666666673,Alto
135,1,3,1,1,0,321.78,389.47,323.332,1,0,1,3,-2.3816,Bajo,Medio,Medio,Bajo,344.86066666666665,Medio
136,5,5,1,0,1,490.737,511.937,539.504,1,1,1,2,1.0752,Medio,Alto,Alto,Alto,514.0593333333333,Alto
137,2,3,1,0,0,388.702,364.229,454.239,1,1,0,0,-2.5653,Medio,Medio,Medio,Bajo,402.39000000000004,Medio
138,3,3,1,0,1,479.721,515.583,497.928,0,1,0,3,-0.7953,Medio,Alto,Alto,Medio,497.74399999999997,Alto
139,1,3,0,1,1,328.429,328.28,373.542,1,1,1,0,-0.5528,Bajo,Medio,Medio,Medio,343.417,Medio
140,2,0,0,0,1,395.981,379.156,407.06,0,1,0,0,-2.7997,Medio,Medio,Medio,Bajo,394.06566666666663,Medio
141,4,4,1,0,1,457.387,513.485,467.757,1,1,0,1,-1.5969,Medio,Alto,Medio,Medio,479.54300000000006,Alto
142,5,5,1,1,1,489.868,545.781,520.911,0,1,1,1,1.5743,Medio,Alto,Alto,Alto,518.8533333333334,Alto
143,4,3,0,0,1,562.795,521.718,508.841,1,1,0,2,-1.2811,Alto,Alto,Alto,Medio,531.1179999999999,Alto
144,4,5,0,1,0,403.561,425.081,468.73,0,1,0,2,-1.1107,Medio,Medio,Medio,Medio,432.45733333333334,Medio
145,3,3,0,0,0,369.663,386.048,354.796,0,1,0,1,-2.4414,Medio,Medio,Medio,Bajo,370.16900000000004,Medio
146,3,3,1,0,0,306.08,306.824,333.739,0,1,0,0,-2.9899,Bajo,Bajo,Medio,Bajo,315.54766666666666,Bajo
147,3,4,1,0,1,360.111,375.246,406.148,0,1,0,0,-1.498,Medio,Medio,Medio,Medio,380.5016666666667,Medio
148,0,2,1,0,1,389.67,377.921,438.862,1,1,1,1,-1.4301,Medio,Medio,Medio,Medio,402.151,Medio
149,4,4,0,1,1,364.803,393.368,417.627,1,1,1,3,0.974,Medio,Medio,Medio,Alto,391.93266666666665,Medio
150,5,4,1,0,0,468.68,555.321,473.765,1,1,0,1,-0.1848,Medio,Alto,Medio,Medio,499.25533333333334,Alto
151,4,4,0,1,1,520.427,548.068,526.28,1,1,1,1,-0.7767,Alto,Alto,Alto,Medio,531.5916666666666,Alto
152,2,2,0,1,1,397.086,358.346,422.858,1,1,1,1,-1.936,Medio,Medio,Medio,Medio,392.7633333333333,Medio
153,4,5,1,0,1,306.285,291.648,319.567,1,1,1,0,-0.0753,Bajo,Bajo,Medio,Alto,305.8333333333333,Bajo
154,5,4,0,1,1,484.859,547.248,501.43,1,1,1,0,1.2055,Medio,Alto,Alto,Alto,511.17900000000003,Alto
155,4,4,0,0,0,399.857,348.724,390.219,0,0,0,1,-2.7146,Medio,Medio,Medio,Bajo,379.59999999999997,Medio
156,4,4,1,0,1,341.791,381.891,320.159,1,1,0,3,-1.472,Medio,Medio,Medio,Medio,347.94699999999995,Medio
157,3,2,1,0,1,476.831,551.616,503.37,0,1,1,1,-1.9487,Medio,Alto,Alto,Medio,510.60566666666665,Alto
158,3,2,1,0,1,322.489,248.812,278.02,1,1,0,1,0.0234,Bajo,Bajo,Bajo,Alto,283.10699999999997,Bajo
159,3,1,0,1,1,363.672,314.457,359.443,0,1,0,0,-1.0167,Medio,Bajo,Medio,Medio,345.8573333333334,Medio
160,3,4,1,1,1,586.435,541.706,565.84,1,1,1,1,-0.8843,Alto,Alto,Alto,Medio,564.6603333333334,Alto
161,4,4,1,0,1,307.632,359.364,313.454,0,1,0,2,-0.7481,Bajo,Medio,Medio,Medio,326.81666666666666,Medio
162,2,3,1,1,1,411.346,429.944,406.984,0,1,0,3,-2.01,Medio,Medio,Medio,Medio,416.0913333333333,Medio
163,4,3,1,0,0,371.712,402.168,358.046,1,1,1,1,-0.8479,Medio,Medio,Medio,Medio,377.3086666666666,Medio
164,3,3,0,0,1,439.754,467.308,394.333,1,1,1,3,-2.0201,Medio,Medio,Medio,Medio,433.79833333333335,Medio
165,2,2,1,0,0,381.23,439.675,378.339,0,0,0,1,-3.0297,Medio,Medio,Medio,Bajo,399.748,Medio
166,5,5,0,0,0,488.824,486.031,468.353,1,1,1,2,-0.1778,Medio,Medio,Medio,Medio,481.06933333333336,Alto
167,5,5,1,1,1,421.272,395.23,409.085,1,1,1,1,0.2655,Medio,Medio,Medio,Alto,408.529,Medio
168,2,2,0,0,0,331.242,324.926,335.433,0,1,0,1,-2.7898,Bajo,Medio,Medio,Bajo,330.53366666666665,Medio
169,4,4,1,0,1,417.258,492.97,468.759,1,1,0,2,-0.548,Medio,Medio,Medio,Medio,459.6623333333334,Medio
170,3,2,0,0,1,408.618,367.403,351.13,1,1,1,2,-1.957,Medio,Medio,Medio,Medio,375.7169999999999,Medio
171,3,2,1,1,1,332.707,373.405,296.255,0,1,1,0,-1.9971,Bajo,Medio,Bajo,Medio,334.1223333333333,Medio
172,4,2,1,1,1,298.785,331.05,269.256,0,1,1,2,-0.1086,Bajo,Medio,Bajo,Medio,299.697,Bajo
173,4,3,1,0,1,474.257,429.55,442.011,1,1,0,0,0.5031,Medio,Medio,Medio,Alto,448.606,Medio
174,2,1,1,0,1,369.097,398.631,384.334,1,1,1,1,-2.6092,Medio,Medio,Medio,Bajo,384.0206666666666,Medio
175,5,5,0,1,1,405.566,394.941,393.534,0,1,1,1,0.599,Medio,Medio,Medio,Alto,398.01366666666667,Medio
176,5,0,1,1,1,415.09,518.216,506.143,1,1,0,1,0.819,Medio,Alto,Alto,Alto,479.8163333333334,Alto
177,5,0,0,1,1,400.04,432.977,407.325,1,1,1,1,0.213,Medio,Medio,Medio,Alto,413.44733333333335,Medio
178,4,3,0,0,1,463.282,514.305,518.265,1,1,1,3,-1.4281,Medio,Alto,Alto,Medio,498.6173333333333,Alto
179,4,4,0,1,1,506.339,518.528,542.402,1,1,1,3,1.4595,Alto,Alto,Alto,Alto,522.423,Alto
180,4,4,1,0,1,327.222,416.729,294.309,1,1,1,0,0.2449,Bajo,Medio,Bajo,Alto,346.08666666666664,Medio
181,4,3,1,1,1,516.847,585.305,461.454,1,1,1,1,-0.999,Alto,Alto,Medio,Medio,521.202,Alto
182,1,2,1,0,1,411.035,382.073,332.34,0,1,1,1,-3.0798,Medio,Medio,Medio,Bajo,375.1493333333333,Medio
183,4,5,0,0,1,430.818,421.798,540.295,1,1,1,1,1.1701,Medio,Medio,Alto,Alto,464.3036666666667,Medio
184,3,3,1,0,0,361.001,379.58,407.924,1,1,0,1,-2.4404,Medio,Medio,Medio,Bajo,382.835,Medio
185,4,4,0,0,0,365.231,330.095,396.196,0,1,0,1,-1.9112,Medio,Medio,Medio,Medio,363.84066666666666,Medio
186,4,4,0,1,1,452.828,450.192,420.581,1,1,1,1,0.8225,Medio,Medio,Medio,Alto,441.2003333333334,Medio
187,4,5,0,0,1,464.843,500.56,500.702,0,1,1,1,0.5053,Medio,Alto,Alto,Alto,488.70166666666665,Alto
188,3,2,0,0,0,472.449,440.81,485.28,1,1,1,1,-0.5403,Medio,Medio,Medio,Medio,466.17966666666666,Medio
189,3,3,1,0,0,445.69,471.866,443.55,0,1,0,2,-1.9276,Medio,Medio,Medio,Medio,453.702,Medio
190,5,5,0,1,1,401.63,426.851,403.806,1,1,1,1,0.9351,Medio,Medio,Medio,Alto,410.76233333333334,Medio
191,5,3,0,1,1,352.135,412.27,361.101,0,1,1,2,-0.2113,Medio,Medio,Medio,Medio,375.16866666666664,Medio
192,5,5,1,0,1,348.863,376.201,393.735,1,1,0,0,-1.6157,Medio,Medio,Medio,Medio,372.933,Medio
193,3,4,0,1,1,433.567,491.215,480.312,0,1,0,3,-0.3976,Medio,Medio,Medio,Medio,468.36466666666666,Medio
194,5,5,0,0,1,415.526,477.294,478.751,0,1,1,3,1.2125,Medio,Medio,Medio,Alto,457.1903333333333,Medio
195,3,3,1,0,1,368.749,387.301,380.257,1,1,1,1,-1.6442,Medio,Medio,Medio,Medio,378.769,Medio
196,3,3,0,1,1,366.435,344.06,386.956,1,1,1,2,-0.265,Medio,Medio,Medio,Medio,365.817,Medio
197,4,4,1,0,1,478.393,453.153,507.696,1,1,0,3,-0.0191,Medio,Medio,Alto,Alto,479.7473333333334,Alto
198,5,5,1,1,1,425.066,471.059,464.325,0,1,1,3,-0.1332,Medio,Medio,Medio,Medio,453.48333333333335,Medio
199,3,2,1,0,1,383.925,372.31,350.784,1,1,1,3,-1.3538,Medio,Medio,Medio,Medio,369.0063333333333,Medio
200,5,5,1,0,0,349.096,317.936,360.045,0,1,0,1,-2.0362,Medio,Medio,Medio,Medio,342.359,Medio
201,3,2,1,0,1,504.084,489.106,522.588,0,1,1,1,-1.7248,Alto,Medio,Alto,Medio,505.25933333333336,Alto
202,4,3,1,0,1,454.872,530.606,423.04,0,1,1,2,-0.7967,Medio,Alto,Medio,Medio,469.50600000000003,Medio
203,4,4,1,0,1,357.799,370.965,337.134,0,0,1,0,0.1173,Medio,Medio,Medio,Alto,355.2993333333333,Medio
204,4,4,1,0,1,371.42,366.191,362.683,0,1,1,1,0.13,Medio,Medio,Medio,Alto,366.76466666666664,Medio
205,2,4,0,0,1,450.13,529.558,467.751,1,1,1,1,-0.2328,Medio,Alto,Medio,Medio,482.4796666666666,Alto
206,4,4,1,1,1,382.862,482.27,399.908,1,1,1,2,0.364,Medio,Medio,Medio,Alto,421.68,Medio
207,5,5,0,0,1,453.311,419.062,464.571,1,1,1,2,0.8647,Medio,Medio,Medio,Alto,445.64799999999997,Medio
208,4,5,1,0,1,458.922,575.428,589.479,1,1,1,1,0.9635,Medio,Alto,Alto,Alto,541.2763333333334,Alto
209,4,4,1,0,1,503.495,485.403,493.295,0,1,1,3,0.4895,Alto,Medio,Alto,Alto,494.0643333333333,Alto
210,3,3,0,1,1,387.565,349.163,353.091,0,1,1,1,-1.6815,Medio,Medio,Medio,Medio,363.27299999999997,Medio
