id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico
96,bachillerato,bachillerato,0,1,1,638.274,565.763,588.775,1,1,1,2,-0.5626
97,bachillerato,bachillerato,1,1,1,542.366,559.583,548.343,1,0,1,3,-0.2702
98,primaria,primaria,1,0,1,321.927,340.69,310.762,0,1,0,2,-2.6345
99,bachillerato,bachillerato,1,0,1,463.327,549.511,448.387,1,1,1,2,0.6745
100,bachillerato,bachillerato,0,0,0,302.946,323.28,325.046,1,1,0,0,-1.9637
101,secundaria,secundaria,0,0,1,291.079,284.152,307.06,0,1,1,3,-2.2238
102,bachillerato tecnico,bachillerato tecnico,0,0,1,468.125,446.865,503.947,0,1,1,3,0.8258
103,bachillerato tecnico,secundaria,1,1,1,400.946,433.693,464.999,0,1,0,2,-0.7837
104,secundaria,secundaria,1,0,0,297.69,353.278,242.099,1,1,1,0,-0.7858
105,secundaria,bachillerato,0,0,1,411.864,427.092,395.895,0,1,1,2,-1.8706
106,secundaria,secundaria,0,0,1,530.289,519.726,541.824,0,1,1,1,-2.2628
107,bachillerato,bachillerato,0,1,1,504.74,593.374,453.302,0,1,1,1,-1.069
108,secundaria,secundaria,1,0,1,391.311,445.508,383.154,0,1,0,6,-2.1907
109,bachillerato,sin informacion,1,1,1,420.371,411.782,488.43,0,1,1,1,-1.5553
110,bachillerato,bachillerato,0,0,1,376.775,354.171,364.803,1,1,1,2,-0.5835
111,bachillerato,secundaria,0,0,0,320.463,290.439,326.893,1,1,1,1,-1.4416
112,bachillerato,bachillerato,0,1,1,505.171,524.796,550.162,1,1,1,2,0.8152
113,bachillerato tecnico,bachillerato,0,1,1,330.451,392.991,407.28,1,1,1,0,1.1744
114,secundaria,secundaria,0,0,1,352.665,327.978,374.232,0,1,1,0,-1.6849
115,bachillerato,primaria,0,0,1,287.863,333.137,326.565,1,1,1,2,-0.8849
116,bachillerato,bachillerato,1,1,1,379.748,428.446,437.412,1,1,1,3,0.8774
117,bachillerato,sin informacion,1,1,1,538.271,563.613,536.173,1,1,1,4,0.6309
118,secundaria,bachillerato,0,0,1,391.328,446.061,381.281,1,1,1,1,0.2687
119,secundaria,secundaria,1,0,1,370.899,351.537,342.349,1,1,1,3,-1.782
120,bachillerato,bachillerato,0,1,1,451.244,472.145,520.944,0,1,1,1,-0.92
121,primaria,primaria,1,0,1,263.13,324.341,284.047,1,1,1,0,-1.639
122,secundaria,bachillerato,0,1,1,362.584,380.143,409.339,1,1,0,2,0.9946
123,bachillerato,secundaria,1,0,1,443.473,507.0,450.236,0,1,0,2,-1.334
124,secundaria,secundaria,1,0,1,390.528,466.083,448.638,0,1,1,1,-1.6617
125,bachillerato tecnico,secundaria,1,0,1,344.525,353.123,320.799,1,1,0,1,0.063
126,bachillerato,bachillerato,0,1,1,438.151,451.549,478.984,1,1,1,1,-0.7004
127,primaria,primaria,1,0,0,411.874,463.983,438.468,1,1,0,1,-2.8721
128,secundaria,bachillerato,1,0,1,394.312,450.481,400.757,1,1,1,1,-0.5946
129,bachillerato tecnico,bachillerato tecnico,1,1,1,384.662,407.886,452.553,1,1,1,6,1.0682
130,primaria,secundaria,1,0,0,394.743,391.505,418.285,1,1,1,2,-0.7669
131,secundaria,secundaria,1,1,1,305.241,256.55,251.05,1,1,0,3,-1.3565
132,bachillerato tecnico,secundaria,0,0,1,335.798,445.558,398.998,1,1,1,2,-1.0177
133,secundaria,primaria,0,1,1,348.309,349.403,361.427,0,1,1,3,-1.4678
134,bachillerato tecnico,bachillerato,0,1,1,488.867,471.667,527.21,0,1,1,0,-0.507
135,menos que primaria,secundaria,1,1,0,321.78,389.47,323.332,1,0,1,3,-2.3816
136,bachillerato tecnico,bachillerato tecnico,1,0,1,490.737,511.937,539.504,1,1,1,2,1.0752
137,primaria,secundaria,1,0,0,388.702,364.229,454.239,1,1,0,0,-2.5653
138,secundaria,secundaria,1,0,1,479.721,515.583,497.928,0,1,0,3,-0.7953
139,menos que primaria,secundaria,0,1,1,328.429,328.28,373.542,1,1,1,0,-0.5528
140,primaria,sin informacion,0,0,1,395.981,379.156,407.06,0,1,0,0,-2.7997
141,bachillerato,bachillerato,1,0,1,457.387,513.485,467.757,1,1,0,1,-1.5969
142,bachillerato tecnico,bachillerato tecnico,1,1,1,489.868,545.781,520.911,0,1,1,1,1.5743
143,bachillerato,secundaria,0,0,1,562.795,521.718,508.841,1,1,0,2,-1.2811
144,bachillerato,bachillerato tecnico,0,1,0,403.561,425.081,468.73,0,1,0,2,-1.1107
145,secundaria,secundaria,0,0,0,369.663,386.048,354.796,0,1,0,1,-2.4414
146,secundaria,secundaria,1,0,0,306.08,306.824,333.739,0,1,0,0,-2.9899
147,secundaria,bachillerato,1,0,1,360.111,375.246,406.148,0,1,0,0,-1.498
148,sin informacion,primaria,1,0,1,389.67,377.921,438.862,1,1,1,1,-1.4301
149,bachillerato,bachillerato,0,1,1,364.803,393.368,417.627,1,1,1,3,0.974
150,bachillerato tecnico,bachillerato,1,0,0,468.68,555.321,473.765,1,1,0,1,-0.1848
151,bachillerato,bachillerato,0,1,1,520.427,548.068,526.28,1,1,1,1,-0.7767
152,primaria,primaria,0,1,1,397.086,358.346,422.858,1,1,1,1,-1.936
153,bachillerato,bachillerato tecnico,1,0,1,306.285,291.648,319.567,1,1,1,0,-0.0753
154,bachillerato tecnico,bachillerato,0,1,1,484.859,547.248,501.43,1,1,1,0,1.2055
155,bachillerato,bachillerato,0,0,0,399.857,348.724,390.219,0,0,0,1,-2.7146
156,bachillerato,bachillerato,1,0,1,341.791,381.891,320.159,1,1,0,3,-1.472
157,secundaria,primaria,1,0,1,476.831,551.616,503.37,0,1,1,1,-1.9487
158,secundaria,primaria,1,0,1,322.489,248.812,278.02,1,1,0,1,0.0234
159,secundaria,menos que primaria,0,1,1,363.672,314.457,359.443,0,1,0,0,-1.0167
160,secundaria,bachillerato,1,1,1,586.435,541.706,565.84,1,1,1,1,-0.8843
161,bachillerato,bachillerato,1,0,1,307.632,359.364,313.454,0,1,0,2,-0.7481
162,primaria,secundaria,1,1,1,411.346,429.944,406.984,0,1,0,3,-2.01
163,bachillerato,secundaria,1,0,0,371.712,402.168,358.046,1,1,1,1,-0.8479
164,secundaria,secundaria,0,0,1,439.754,467.308,394.333,1,1,1,3,-2.0201
165,primaria,primaria,1,0,0,381.23,439.675,378.339,0,0,0,1,-3.0297
166,bachillerato tecnico,bachillerato tecnico,0,0,0,488.824,486.031,468.353,1,1,1,2,-0.1778
167,bachillerato tecnico,bachillerato tecnico,1,1,1,421.272,395.23,409.085,1,1,1,1,0.2655
168,primaria,primaria,0,0,0,331.242,324.926,335.433,0,1,0,1,-2.7898
169,bachillerato,bachillerato,1,0,1,417.258,492.97,468.759,1,1,0,2,-0.548
170,secundaria,primaria,0,0,1,408.618,367.403,351.13,1,1,1,2,-1.957
171,secundaria,primaria,1,1,1,332.707,373.405,296.255,0,1,1,0,-1.9971
172,bachillerato,primaria,1,1,1,298.785,331.05,269.256,0,1,1,2,-0.1086
173,bachillerato,secundaria,1,0,1,474.257,429.55,442.011,1,1,0,0,0.5031
174,primaria,menos que primaria,1,0,1,369.097,398.631,384.334,1,1,1,1,-2.6092
175,bachillerato tecnico,bachillerato tecnico,0,1,1,405.566,394.941,393.534,0,1,1,1,0.599
176,bachillerato tecnico,sin informacion,1,1,1,415.09,518.216,506.143,1,1,0,1,0.819
177,bachillerato tecnico,sin informacion,0,1,1,400.04,432.977,407.325,1,1,1,1,0.213
178,bachillerato,secundaria,0,0,1,463.282,514.305,518.265,1,1,1,3,-1.4281
179,bachillerato,bachillerato,0,1,1,506.339,518.528,542.402,1,1,1,3,1.4595
180,bachillerato,bachillerato,1,0,1,327.222,416.729,294.309,1,1,1,0,0.2449
181,bachillerato,secundaria,1,1,1,516.847,585.305,461.454,1,1,1,1,-0.999
182,menos que primaria,primaria,1,0,1,411.035,382.073,332.34,0,1,1,1,-3.0798
183,bachillerato,bachillerato tecnico,0,0,1,430.818,421.798,540.295,1,1,1,1,1.1701
184,secundaria,secundaria,1,0,0,361.001,379.58,407.924,1,1,0,1,-2.4404
185,bachillerato,bachillerato,0,0,0,365.231,330.095,396.196,0,1,0,1,-1.9112
186,bachillerato,bachillerato,0,1,1,452.828,450.192,420.581,1,1,1,1,0.8225
187,bachillerato,bachillerato tecnico,0,0,1,464.843,500.56,500.702,0,1,1,1,0.5053
188,secundaria,primaria,0,0,0,472.449,440.81,485.28,1,1,1,1,-0.5403
189,secundaria,secundaria,1,0,0,445.69,471.866,443.55,0,1,0,2,-1.9276
190,bachillerato tecnico,bachillerato tecnico,0,1,1,401.63,426.851,403.806,1,1,1,1,0.9351
191,bachillerato tecnico,secundaria,0,1,1,352.135,412.27,361.101,0,1,1,2,-0.2113
192,bachillerato tecnico,bachillerato tecnico,1,0,1,348.863,376.201,393.735,1,1,0,0,-1.6157
193,secundaria,bachillerato,0,1,1,433.567,491.215,480.312,0,1,0,3,-0.3976
194,bachillerato tecnico,bachillerato tecnico,0,0,1,415.526,477.294,478.751,0,1,1,3,1.2125
195,secundaria,secundaria,1,0,1,368.749,387.301,380.257,1,1,1,1,-1.6442
196,secundaria,secundaria,0,1,1,366.435,344.06,386.956,1,1,1,2,-0.265
197,bachillerato,bachillerato,1,0,1,478.393,453.153,507.696,1,1,0,3,-0.0191
198,bachillerato tecnico,bachillerato tecnico,1,1,1,425.066,471.059,464.325,0,1,1,3,-0.1332
199,secundaria,primaria,1,0,1,383.925,372.31,350.784,1,1,1,3,-1.3538
200,bachillerato tecnico,bachillerato tecnico,1,0,0,349.096,317.936,360.045,0,1,0,1,-2.0362
201,secundaria,primaria,1,0,1,504.084,489.106,522.588,0,1,1,1,-1.7248
202,bachillerato,secundaria,1,0,1,454.872,530.606,423.04,0,1,1,2,-0.7967
203,bachillerato,bachillerato,1,0,1,357.799,370.965,337.134,0,0,1,0,0.1173
204,bachillerato,bachillerato,1,0,1,371.42,366.191,362.683,0,1,1,1,0.13
205,primaria,bachillerato,0,0,1,450.13,529.558,467.751,1,1,1,1,-0.2328
206,bachillerato,bachillerato,1,1,1,382.862,482.27,399.908,1,1,1,2,0.364
207,bachillerato tecnico,bachillerato tecnico,0,0,1,453.311,419.062,464.571,1,1,1,2,0.8647
208,bachillerato,bachillerato tecnico,1,0,1,458.922,575.428,589.479,1,1,1,1,0.9635
209,bachillerato,bachillerato,1,0,1,503.495,485.403,493.295,0,1,1,3,0.4895
210,secundaria,secundaria,0,1,1,387.565,349.163,353.091,0,1,1,1,-1.6815
211,bachillerato,bachillerato,0,1,1,347.692,373.038,403.027,1,0,1,1,-0.4108
212,bachillerato tecnico,bachillerato,1,1,1,383.107,382.919,397.38,0,1,1,2,0.3121
213,menos que primaria,bachillerato,0,0,1,415.361,450.637,462.977,0,1,0,1,-1.4957
214,menos que primaria,bachillerato,0,0,0,334.84,263.184,370.802,0,0,0,0,-2.2933
215,secundaria,secundaria,0,0,1,460.48,513.634,478.695,0,1,1,1,-2.1327
216,secundaria,primaria,0,1,1,543.65,512.837,578.078,1,1,1,3,-1.4525
217,primaria,primaria,0,0,0,312.952,259.604,327.477,1,1,1,1,-1.9869
218,secundaria,bachillerato tecnico,0,0,1,475.26,448.352,466.246,1,1,1,1,0.1828
219,secundaria,menos que primaria,0,1,1,374.04,441.967,450.698,1,1,1,1,-2.3436
220,primaria,secundaria,1,0,0,319.292,348.241,303.185,1,1,1,0,-2.3526
221,bachillerato,bachillerato,0,1,1,501.367,508.868,483.942,1,1,1,4,-0.4461
222,primaria,bachillerato tecnico,0,0,0,333.769,360.307,374.827,1,1,1,1,-1.019
223,bachillerato,bachillerato,1,0,0,356.928,371.297,371.315,0,1,1,1,-1.2505
224,bachillerato,bachillerato,1,0,1,379.762,350.433,371.972,0,1,1,0,-1.1432
225,bachillerato,secundaria,1,0,1,287.374,319.158,329.836,0,1,1,0,-2.2203
226,bachillerato tecnico,bachillerato,0,1,1,371.033,458.038,422.539,1,1,1,4,0.4683
227,primaria,secundaria,0,0,1,293.708,342.192,304.675,1,1,1,2,-1.8414
228,secundaria,secundaria,0,0,0,459.092,486.224,481.633,0,1,0,2,-2.4219
229,bachillerato tecnico,bachillerato,1,0,1,420.635,451.685,429.041,1,1,1,4,0.3068
230,primaria,secundaria,0,0,1,435.731,477.88,481.658,0,1,0,0,-2.4224
231,secundaria,bachillerato,1,0,0,456.016,423.257,454.203,0,1,0,2,-2.0451
232,bachillerato,bachillerato tecnico,1,1,1,482.24,573.991,505.395,0,1,1,2,0.6552
233,secundaria,bachillerato,0,0,1,352.273,366.544,478.861,1,1,1,0,-0.5785
234,sin informacion,sin informacion,1,0,1,334.871,355.192,366.529,0,1,1,3,-0.1846
235,bachillerato,bachillerato,0,0,1,418.442,443.228,424.869,1,1,1,2,-1.615
236,bachillerato tecnico,secundaria,0,1,1,449.198,459.312,459.305,1,1,1,6,0.15
237,primaria,primaria,0,0,1,459.067,386.611,440.804,1,1,0,3,-2.2661
238,secundaria,secundaria,1,0,1,320.694,404.052,330.873,1,1,0,1,-0.6696
239,bachillerato,secundaria,1,0,0,358.988,391.653,419.547,0,0,1,2,-1.8409
240,bachillerato,bachillerato,0,0,1,457.396,412.697,478.474,0,1,1,1,-1.3601
241,bachillerato,bachillerato,1,0,1,318.83,402.493,311.596,1,1,0,0,-1.355
242,bachillerato,bachillerato tecnico,0,1,1,443.116,447.798,411.27,0,1,0,0,-1.4724
243,bachillerato,bachillerato,1,0,0,429.017,419.364,386.803,1,1,0,0,-2.0408
244,secundaria,secundaria,1,0,1,356.009,426.625,314.123,1,1,1,2,-1.795
245,bachillerato,bachillerato,0,1,1,456.676,327.191,465.151,1,1,0,1,-1.5266
246,bachillerato tecnico,bachillerato tecnico,1,1,1,518.314,559.273,543.117,1,1,1,3,1.0125
247,bachillerato,menos que primaria,1,1,1,363.029,394.081,363.859,0,1,1,0,-0.6838
248,bachillerato,secundaria,0,0,1,467.096,493.053,477.247,1,1,1,1,0.1305
249,bachillerato,bachillerato,1,0,1,455.282,502.332,498.728,0,1,1,4,0.7716
250,primaria,primaria,0,0,1,319.906,251.059,324.744,1,1,1,0,-1.2155
251,secundaria,secundaria,0,0,0,453.368,408.841,424.544,1,1,1,0,-1.8388
252,bachillerato tecnico,bachillerato tecnico,1,0,1,454.955,507.758,494.003,1,1,1,2,0.1752
253,secundaria,menos que primaria,1,0,0,361.396,338.415,331.324,0,1,0,1,-2.8982
254,bachillerato,bachillerato,0,0,1,427.604,414.969,409.685,1,1,0,2,-1.3016
255,secundaria,menos que primaria,1,0,0,297.284,317.438,277.773,0,1,0,3,-2.2509
256,secundaria,secundaria,1,0,1,367.83,351.326,351.659,1,1,1,1,-2.2477
257,bachillerato,bachillerato,1,0,1,481.952,494.915,448.103,1,1,1,3,0.6926
258,secundaria,secundaria,0,0,1,395.845,437.654,420.693,0,1,1,1,-2.1066
259,bachillerato,bachillerato,0,1,1,357.703,376.557,437.822,1,1,0,2,-0.6746
260,bachillerato,bachillerato,0,0,1,392.989,469.324,474.387,1,1,1,3,-1.1439
261,bachillerato,bachillerato,1,0,1,544.056,577.61,558.723,0,1,1,3,-0.6391
262,bachillerato tecnico,bachillerato,1,0,1,402.276,466.996,445.169,1,1,1,1,-0.109
263,bachillerato tecnico,bachillerato tecnico,1,1,1,412.418,472.615,428.183,1,1,1,1,0.8533
264,bachillerato,primaria,1,0,1,412.404,430.944,377.98,1,1,0,1,-1.429
265,primaria,secundaria,1,0,1,389.368,333.785,360.484,0,1,0,0,-2.7296
266,bachillerato tecnico,bachillerato tecnico,1,1,1,428.34,541.154,446.875,1,1,1,3,1.2148
267,secundaria,secundaria,0,1,1,418.106,358.651,420.289,1,1,0,1,-1.8501
268,bachillerato tecnico,bachillerato,1,0,1,458.491,480.572,465.377,0,1,0,3,-0.4878
269,bachillerato,sin informacion,0,0,1,367.884,390.315,341.86,1,1,0,1,-0.1072
270,secundaria,bachillerato,0,0,0,311.47,401.702,329.639,1,1,0,1,-1.6448
271,primaria,secundaria,1,0,0,301.386,344.078,360.128,0,1,0,2,-0.7583
272,secundaria,secundaria,0,0,1,447.598,430.312,438.34,0,1,1,1,-2.0241
273,secundaria,sin informacion,1,0,1,321.931,390.849,344.665,0,1,0,2,-2.4177
274,menos que primaria,primaria,0,0,1,228.747,250.244,268.148,1,1,1,1,-1.025
275,bachillerato,secundaria,0,1,1,505.155,489.327,497.342,0,1,1,1,0.8121
276,bachillerato,bachillerato,1,0,1,265.702,326.867,267.756,0,1,1,1,-0.5299
277,menos que primaria,primaria,0,0,1,430.115,434.559,428.106,0,0,0,0,-3.7616
278,secundaria,menos que primaria,0,0,1,392.843,426.411,428.484,0,1,0,1,-1.5098
279,secundaria,primaria,1,1,1,340.108,320.061,380.828,1,1,0,1,-2.2666
280,bachillerato,secundaria,1,1,1,341.045,428.35,432.51,1,1,1,1,0.3393
281,menos que primaria,menos que primaria,1,0,1,404.128,441.71,347.474,1,1,1,3,-2.8567
282,bachillerato,bachillerato,0,0,1,431.963,538.494,447.915,1,1,1,1,0.8087
283,bachillerato,bachillerato,0,1,1,382.154,403.131,401.433,1,1,1,2,0.4756
284,bachillerato,secundaria,1,1,1,447.749,503.36,436.985,1,1,1,1,-0.5911
285,menos que primaria,menos que primaria,1,0,1,390.109,453.79,368.321,1,1,1,1,-3.2743
286,primaria,bachillerato,1,0,1,372.617,313.893,410.739,0,1,1,1,-1.452
287,bachillerato,bachillerato,0,1,1,389.126,451.773,421.266,1,1,0,3,0.5532
288,secundaria,secundaria,0,0,1,427.339,351.527,434.591,1,1,1,4,-0.596
289,bachillerato tecnico,bachillerato,0,0,1,435.251,518.301,468.679,1,1,1,1,0.7653
290,bachillerato,bachillerato,1,1,1,407.821,449.879,404.832,1,1,0,3,-1.231
291,secundaria,bachillerato,1,0,1,393.19,338.613,383.379,0,1,0,0,-1.963
292,bachillerato tecnico,bachillerato tecnico,0,0,1,390.22,372.374,433.789,0,1,1,3,0.5579
293,secundaria,secundaria,0,0,1,399.766,363.042,354.61,1,1,1,1,-2.1231
294,bachillerato,bachillerato,1,0,1,419.203,432.033,404.34,1,1,1,3,1.2664
295,menos que primaria,secundaria,0,1,1,411.601,508.675,470.678,0,1,1,1,-0.8315
296,menos que primaria,sin informacion,1,1,1,309.725,381.361,379.019,0,1,1,1,-2.7093
297,menos que primaria,bachillerato,0,1,0,324.616,258.635,374.793,0,1,1,1,-0.2013
298,bachillerato,bachillerato,0,0,1,422.329,468.22,449.945,0,1,0,1,-1.7869
299,primaria,secundaria,0,0,0,367.389,356.037,360.454,1,1,1,1,-2.4374
300,menos que primaria,secundaria,0,1,1,522.097,539.718,499.11,0,1,0,3,-1.6936
301,bachillerato,bachillerato tecnico,0,0,1,365.652,369.702,327.922,0,1,1,1,-0.3575
