educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,matematicasCategoria,comprension_lectoraCategoria,cienciasCategoria,indice_socioeconomicoCategoria,rendimiento_general,rendimiento_general_categoria,id_alumno
2,4,0,0,1,450.13,529.558,467.751,1,1,1,1,-0.233,Medio,Alto,Medio,Medio,482.48,Alto,45
4,5,1,0,1,458.922,575.428,589.479,1,1,1,1,0.964,Medio,Alto,Alto,Alto,541.276,Alto,46
4,4,1,0,1,503.495,485.403,493.295,0,1,1,3,0.49,Alto,Medio,Alto,Alto,494.064,Alto,47
3,3,0,0,1,460.48,513.634,478.695,0,1,1,1,-2.133,Medio,Alto,Medio,Medio,484.27,Alto,48
3,2,0,1,1,543.65,512.837,578.078,1,1,1,3,-1.452,Alto,Alto,Alto,Medio,544.855,Alto,49
4,4,0,1,1,501.367,508.868,483.942,1,1,1,4,-0.446,Alto,Alto,Medio,Medio,498.059,Alto,50
4,5,1,1,1,482.24,573.991,505.395,0,1,1,2,0.655,Medio,Alto,Alto,Alto,520.542,Alto,51
5,5,1,1,1,518.314,559.273,543.117,1,1,1,3,1.012,Alto,Alto,Alto,Alto,540.235,Alto,52
4,3,0,0,1,467.096,493.053,477.247,1,1,1,1,0.13,Medio,Medio,Medio,Alto,479.132,Alto,53
4,4,1,0,1,455.282,502.332,498.728,0,1,1,4,0.772,Medio,Alto,Alto,Alto,485.447,Alto,54
5,5,1,0,1,454.955,507.758,494.003,1,1,1,2,0.175,Medio,Alto,Alto,Alto,485.572,Alto,55
4,4,1,0,1,544.056,577.61,558.723,0,1,1,3,-0.639,Alto,Alto,Alto,Medio,560.13,Alto,56
4,3,0,1,1,505.155,489.327,497.342,0,1,1,1,0.812,Alto,Medio,Alto,Alto,497.275,Alto,57
1,3,0,1,1,522.097,539.718,499.11,0,1,0,3,-1.694,Alto,Alto,Alto,Medio,520.308,Alto,58
4,4,1,1,1,534.511,572.548,531.226,1,1,1,3,0.772,Alto,Alto,Alto,Alto,546.095,Alto,59
5,5,1,0,1,468.245,576.591,539.393,1,1,1,3,0.446,Medio,Alto,Alto,Alto,528.076,Alto,60
5,5,1,1,1,417.54,505.631,517.613,1,1,1,4,0.556,Medio,Alto,Alto,Alto,480.261,Alto,61
5,4,0,1,1,535.855,583.952,541.307,1,1,1,2,0.855,Alto,Alto,Alto,Alto,553.705,Alto,62
3,5,0,1,1,528.126,572.179,572.197,1,1,1,1,-0.956,Alto,Alto,Alto,Medio,557.501,Alto,63
2,3,0,0,1,484.432,501.932,465.431,0,1,1,1,-2.148,Medio,Alto,Medio,Medio,483.932,Alto,64
4,5,0,1,1,484.292,538.83,518.735,1,1,1,2,0.001,Medio,Alto,Alto,Alto,513.952,Alto,65
5,5,1,1,1,463.743,527.674,485.999,1,1,1,2,0.553,Medio,Alto,Medio,Alto,492.472,Alto,66
5,5,0,0,1,582.672,515.6,563.093,1,1,1,3,0.542,Alto,Alto,Alto,Alto,553.788,Alto,67
4,3,0,0,1,456.522,535.444,473.45,1,1,1,1,-0.242,Medio,Alto,Medio,Medio,488.472,Alto,68
4,5,1,0,1,463.274,512.925,513.285,0,1,1,1,0.177,Medio,Alto,Alto,Alto,496.495,Alto,69
2,2,1,0,1,502.518,528.195,555.826,1,1,1,1,-2.357,Alto,Alto,Alto,Bajo,528.846,Alto,70
0,3,0,1,1,592.707,523.671,611.773,1,1,1,1,1.556,Alto,Alto,Alto,Alto,576.05,Alto,71
4,4,0,0,1,518.449,545.275,530.646,0,1,0,2,0.237,Alto,Alto,Alto,Alto,531.457,Alto,72
5,5,0,1,1,484.072,568.785,540.419,1,1,1,3,1.03,Medio,Alto,Alto,Alto,531.092,Alto,73
4,5,1,0,1,493.526,552.435,472.312,0,1,1,2,-0.138,Medio,Alto,Medio,Medio,506.091,Alto,74
4,1,1,0,1,459.403,556.546,452.968,1,1,0,2,-1.417,Medio,Alto,Medio,Medio,489.639,Alto,75
3,4,1,0,1,514.404,563.188,504.941,1,1,1,2,1.02,Alto,Alto,Alto,Alto,527.511,Alto,76
5,5,0,0,1,442.903,473.909,517.335,1,1,1,6,1.093,Medio,Medio,Alto,Alto,478.049,Alto,77
3,5,0,1,1,508.286,478.747,551.591,1,1,1,1,-0.985,Alto,Medio,Alto,Medio,512.875,Alto,78
5,5,1,0,1,457.041,607.345,593.264,0,1,1,4,0.994,Medio,Alto,Alto,Alto,552.55,Alto,79
5,5,1,1,1,612.905,634.288,558.512,1,1,1,1,0.777,Alto,Alto,Alto,Alto,601.902,Alto,80
4,4,0,1,1,518.993,490.36,528.475,1,1,1,1,-1.098,Alto,Medio,Alto,Medio,512.609,Alto,81
3,4,1,0,1,444.017,546.741,515.213,0,1,1,1,-0.04,Medio,Alto,Alto,Alto,501.99,Alto,82
3,3,0,0,1,479.749,532.21,521.864,0,1,1,2,-0.755,Medio,Alto,Alto,Medio,511.274,Alto,83
5,5,0,1,1,435.238,527.735,504.813,1,1,1,1,0.528,Medio,Alto,Alto,Alto,489.262,Alto,84
4,3,1,0,1,477.633,528.788,511.97,0,1,1,1,-0.681,Medio,Alto,Alto,Medio,506.13,Alto,85
4,4,1,0,1,478.301,592.58,494.665,1,1,0,2,-0.079,Medio,Alto,Alto,Alto,521.849,Alto,86
4,4,1,1,1,546.282,560.01,550.217,1,1,1,3,-0.706,Alto,Alto,Alto,Medio,552.17,Alto,87
5,5,0,0,1,509.637,585.689,525.976,1,1,1,1,0.436,Alto,Alto,Alto,Alto,540.434,Alto,88
5,5,1,1,1,509.054,511.543,504.126,1,1,0,2,-0.493,Alto,Alto,Alto,Medio,508.241,Alto,89
3,5,0,0,1,496.982,562.745,516.278,0,1,1,3,-0.318,Alto,Alto,Alto,Medio,525.335,Alto,90
5,5,0,1,1,436.659,507.384,509.426,1,1,1,3,1.132,Medio,Alto,Alto,Alto,484.49,Alto,91
4,4,1,1,1,458.39,554.077,513.025,0,1,1,3,0.908,Medio,Alto,Alto,Alto,508.497,Alto,92
4,1,1,0,0,455.966,505.401,510.651,0,0,0,2,-1.834,Medio,Alto,Alto,Medio,490.673,Alto,93
3,4,0,1,1,468.158,461.851,532.519,0,1,1,1,-0.046,Medio,Medio,Alto,Alto,487.509,Alto,94
4,3,1,0,1,529.99,563.126,522.876,1,1,1,1,-0.671,Alto,Alto,Alto,Medio,538.664,Alto,95
4,1,1,0,1,647.544,621.264,564.925,0,1,0,2,-1.791,Alto,Alto,Alto,Medio,611.244,Alto,96
4,5,1,0,1,535.42,536.804,503.748,1,1,1,3,1.035,Alto,Alto,Alto,Alto,525.324,Alto,97
3,4,0,0,1,492.649,544.655,510.291,0,1,0,2,-1.449,Medio,Alto,Alto,Medio,515.865,Alto,98
4,2,0,1,1,511.582,467.949,465.421,1,1,1,2,-1.142,Alto,Medio,Medio,Medio,481.651,Alto,99
5,5,1,0,1,529.208,525.661,554.481,0,1,1,4,0.829,Alto,Alto,Alto,Alto,536.45,Alto,100
5,5,1,1,1,470.192,534.723,476.016,1,1,1,3,0.617,Medio,Alto,Medio,Alto,493.644,Alto,101
4,4,0,1,1,551.94,588.679,560.632,0,1,0,3,-0.893,Alto,Alto,Alto,Medio,567.084,Alto,102
4,4,1,1,1,492.195,522.083,459.281,1,1,1,1,0.297,Medio,Alto,Medio,Alto,491.186,Alto,103
4,4,0,0,1,439.927,481.526,527.063,1,1,1,0,0.623,Medio,Medio,Alto,Alto,482.839,Alto,104
5,3,1,0,0,488.378,492.888,549.814,0,1,0,1,-1.402,Medio,Medio,Alto,Medio,510.36,Alto,105
4,4,1,0,1,464.364,590.716,465.071,1,1,1,2,0.437,Medio,Alto,Medio,Alto,506.717,Alto,106
4,4,1,0,1,503.56,516.591,450.542,1,1,1,1,-0.905,Alto,Alto,Medio,Medio,490.231,Alto,107
4,4,1,1,1,484.106,528.477,547.326,0,1,0,3,-1.168,Medio,Alto,Alto,Medio,519.97,Alto,108
5,5,0,1,1,546.123,603.496,509.487,1,1,1,4,1.153,Alto,Alto,Alto,Alto,553.035,Alto,109
3,4,1,0,1,463.336,522.947,526.463,1,1,1,4,0.858,Medio,Alto,Alto,Alto,504.249,Alto,110
2,3,0,1,1,507.793,508.708,454.131,0,1,1,2,-1.653,Alto,Alto,Medio,Medio,490.211,Alto,111
5,5,0,0,1,527.409,606.725,566.714,1,1,1,3,0.866,Alto,Alto,Alto,Alto,566.949,Alto,112
3,3,1,1,1,442.484,523.037,473.132,0,1,0,1,-1.919,Medio,Alto,Medio,Medio,479.551,Alto,113
4,4,0,1,1,470.884,536.516,481.815,1,1,1,2,1.483,Medio,Alto,Medio,Alto,496.405,Alto,114
5,5,1,1,1,578.129,619.033,564.67,1,1,0,1,1.064,Alto,Alto,Alto,Alto,587.277,Alto,115
2,3,1,0,1,451.193,536.331,511.232,0,1,1,1,-2.359,Medio,Alto,Alto,Bajo,499.585,Alto,116
4,4,0,1,1,495.593,560.398,494.347,0,1,0,1,0.369,Alto,Alto,Alto,Alto,516.779,Alto,117
3,3,0,0,1,523.291,514.336,505.742,0,1,1,1,-1.769,Alto,Alto,Alto,Medio,514.456,Alto,118
5,5,1,1,1,424.682,554.433,462.7,1,1,1,1,0.248,Medio,Alto,Medio,Alto,480.605,Alto,119
2,2,0,0,1,477.103,463.365,554.473,1,1,1,3,-2.412,Medio,Medio,Alto,Bajo,498.314,Alto,120
4,1,0,0,1,466.349,541.563,492.291,0,1,1,1,-1.143,Medio,Alto,Alto,Medio,500.068,Alto,121
5,5,0,0,1,520.95,507.045,592.44,1,1,1,1,0.871,Alto,Alto,Alto,Alto,540.145,Alto,122
2,2,1,0,1,479.229,470.55,509.602,0,1,1,1,-2.492,Medio,Medio,Alto,Bajo,486.46,Alto,123
3,4,1,0,1,511.715,520.382,487.613,0,1,0,2,-1.004,Alto,Alto,Medio,Medio,506.57,Alto,124
5,0,0,0,1,445.131,519.099,511.25,1,1,1,4,-0.93,Medio,Alto,Alto,Medio,491.827,Alto,125
4,4,0,1,1,504.984,455.841,529.294,1,1,1,2,-1.216,Alto,Medio,Alto,Medio,496.706,Alto,126
5,5,0,0,1,465.289,456.579,521.996,0,1,1,2,-0.456,Medio,Medio,Alto,Medio,481.288,Alto,127
3,4,1,0,1,446.489,483.198,521.636,1,1,0,1,-1.074,Medio,Medio,Alto,Medio,483.774,Alto,128
5,4,1,1,1,452.958,528.952,497.513,1,1,1,3,0.877,Medio,Alto,Alto,Alto,493.141,Alto,129
5,0,1,0,1,524.705,570.102,572.598,1,1,0,3,-0.583,Alto,Alto,Alto,Medio,555.802,Alto,130
5,5,1,0,1,461.247,517.843,466.924,1,1,1,1,0.839,Medio,Alto,Medio,Alto,482.005,Alto,131
4,4,0,0,1,511.005,486.439,512.574,1,1,0,2,0.261,Alto,Medio,Alto,Alto,503.339,Alto,132
4,3,1,1,1,498.598,614.257,508.919,0,1,0,1,-0.241,Alto,Alto,Alto,Medio,540.591,Alto,133
4,5,0,0,1,497.044,581.813,530.777,1,1,1,2,-0.239,Alto,Alto,Alto,Medio,536.545,Alto,134
4,4,0,0,1,591.766,561.497,542.892,0,1,1,4,0.294,Alto,Alto,Alto,Alto,565.385,Alto,135
4,4,0,1,1,490.071,525.463,537.438,1,1,0,2,-1.207,Medio,Alto,Alto,Medio,517.657,Alto,136
5,5,1,0,1,463.074,599.297,550.807,1,1,1,4,1.036,Medio,Alto,Alto,Alto,537.726,Alto,137
4,2,0,1,1,510.536,538.113,555.48,0,1,0,1,-1.227,Alto,Alto,Alto,Medio,534.71,Alto,138
5,5,1,1,1,603.689,626.631,609.231,0,1,1,3,0.466,Alto,Alto,Alto,Alto,613.184,Alto,139
4,4,1,0,1,459.245,548.982,502.492,0,1,1,2,-1.742,Medio,Alto,Alto,Medio,503.573,Alto,140
3,4,1,0,1,448.259,472.258,533.601,1,1,0,1,-0.036,Medio,Medio,Alto,Alto,484.706,Alto,141
4,4,0,1,1,536.388,555.284,549.609,0,1,0,0,-1.382,Alto,Alto,Alto,Medio,547.094,Alto,142
4,4,0,0,1,488.732,440.176,517.645,0,1,1,1,-1.54,Medio,Medio,Alto,Medio,482.184,Alto,143
5,5,0,1,1,463.135,507.3,518.103,1,1,1,3,0.479,Medio,Alto,Alto,Alto,496.179,Alto,144
5,5,1,1,0,453.729,526.243,465.841,1,1,1,4,0.212,Medio,Alto,Medio,Alto,481.938,Alto,145
4,3,1,0,1,497.741,549.441,523.843,0,1,1,1,-1.019,Alto,Alto,Alto,Medio,523.675,Alto,146
4,4,0,0,1,488.62,579.773,636.828,0,1,1,2,-0.152,Medio,Alto,Alto,Medio,568.407,Alto,147
4,4,1,0,1,503.771,556.11,509.932,0,1,1,1,0.41,Alto,Alto,Alto,Alto,523.271,Alto,148
2,1,1,0,1,492.065,533.835,512.59,1,1,1,0,-2.988,Medio,Alto,Alto,Bajo,512.83,Alto,149
5,5,0,0,1,483.602,482.584,537.715,1,1,1,6,1.554,Medio,Medio,Alto,Alto,501.3,Alto,150
4,4,1,0,1,470.834,505.103,487.551,0,0,0,0,-2.116,Medio,Alto,Medio,Medio,487.829,Alto,151
4,4,0,0,1,558.184,622.644,585.121,0,1,1,3,-0.292,Alto,Alto,Alto,Medio,588.65,Alto,152
4,5,1,1,1,541.709,583.735,479.72,1,1,1,2,0.118,Alto,Alto,Medio,Alto,535.055,Alto,153
4,4,0,0,1,513.983,531.238,546.777,1,1,1,1,0.438,Alto,Alto,Alto,Alto,530.666,Alto,154
3,4,0,0,1,475.654,459.794,500.446,0,1,0,2,-1.664,Medio,Medio,Alto,Medio,478.631,Alto,155
4,4,1,0,1,460.342,552.862,482.217,1,1,1,2,0.772,Medio,Alto,Medio,Alto,498.474,Alto,156
5,4,1,0,1,500.398,500.219,466.224,1,1,1,1,-0.046,Alto,Alto,Medio,Alto,488.947,Alto,157
5,4,0,1,1,499.245,537.836,485.492,1,1,1,2,-0.332,Alto,Alto,Medio,Medio,507.524,Alto,158
5,5,0,1,1,431.948,513.884,517.806,1,1,1,2,0.854,Medio,Alto,Alto,Alto,487.879,Alto,159
4,5,0,1,1,528.126,479.892,504.575,1,1,1,3,0.925,Alto,Medio,Alto,Alto,504.198,Alto,160
3,4,1,1,1,510.149,469.652,503.254,1,1,1,1,-0.3,Alto,Medio,Alto,Medio,494.352,Alto,161
4,3,1,0,1,515.183,511.994,558.659,1,1,1,2,-1.24,Alto,Alto,Alto,Medio,528.612,Alto,162
5,5,0,1,1,528.331,518.622,581.116,1,1,1,1,0.767,Alto,Alto,Alto,Alto,542.69,Alto,163
4,4,1,1,1,524.017,558.263,549.815,1,1,1,3,0.683,Alto,Alto,Alto,Alto,544.032,Alto,164
4,0,0,1,1,496.59,541.644,485.164,1,1,1,3,1.135,Alto,Alto,Medio,Alto,507.799,Alto,165
4,5,0,1,1,491.338,526.588,527.755,1,1,1,3,1.517,Medio,Alto,Alto,Alto,515.227,Alto,166
4,3,1,1,1,463.821,546.45,457.794,1,1,1,2,-0.324,Medio,Alto,Medio,Medio,489.355,Alto,167
4,5,1,0,1,477.791,529.072,455.294,1,1,1,1,-1.01,Medio,Alto,Medio,Medio,487.386,Alto,168
2,2,0,1,1,475.742,511.257,520.861,1,1,1,2,-2.608,Medio,Alto,Alto,Bajo,502.62,Alto,169
1,5,0,1,1,482.314,541.354,522.007,1,1,1,1,-0.294,Medio,Alto,Alto,Medio,515.225,Alto,170
5,4,0,1,1,441.323,556.084,509.299,1,1,1,3,1.291,Medio,Alto,Alto,Alto,502.235,Alto,171
4,3,0,0,1,519.717,477.35,564.337,1,1,1,3,0.562,Alto,Medio,Alto,Alto,520.468,Alto,172
3,4,1,0,1,523.645,627.557,579.553,0,1,0,3,-0.684,Alto,Alto,Alto,Medio,576.918,Alto,173
3,3,1,0,1,488.069,530.992,482.302,1,1,1,2,-1.48,Medio,Alto,Medio,Medio,500.454,Alto,174
4,4,1,1,1,472.314,495.502,503.355,1,1,0,2,0.48,Medio,Medio,Alto,Alto,490.39,Alto,175
3,3,1,0,1,469.54,509.822,464.721,1,1,1,1,-2.258,Medio,Alto,Medio,Bajo,481.361,Alto,176
4,4,1,1,1,496.245,560.631,479.899,1,1,1,2,1.291,Alto,Alto,Medio,Alto,512.258,Alto,177
5,5,1,1,1,481.924,523.133,520.348,0,1,1,3,0.612,Medio,Alto,Alto,Alto,508.468,Alto,178
4,5,0,1,1,538.948,457.111,564.921,1,1,1,0,0.589,Alto,Medio,Alto,Alto,520.327,Alto,179
5,5,0,1,1,561.968,573.015,606.855,1,1,1,4,0.911,Alto,Alto,Alto,Alto,580.613,Alto,180
4,4,0,0,1,479.752,503.532,468.574,0,1,0,1,-0.754,Medio,Alto,Medio,Medio,483.953,Alto,181
5,5,1,0,1,519.927,600.789,520.116,1,1,1,3,0.649,Alto,Alto,Alto,Alto,546.944,Alto,182
5,4,1,0,1,575.56,628.43,604.424,1,1,1,3,0.977,Alto,Alto,Alto,Alto,602.805,Alto,183
4,4,0,0,1,493.971,470.919,527.748,1,1,1,1,-0.08,Medio,Medio,Alto,Alto,497.546,Alto,184
5,2,1,1,1,465.523,499.604,471.673,0,1,1,1,-0.408,Medio,Alto,Medio,Medio,478.933,Alto,185
4,4,1,1,1,478.89,552.559,548.984,0,1,0,2,-0.03,Medio,Alto,Alto,Alto,526.811,Alto,186
4,4,1,0,1,507.619,494.163,520.842,1,1,0,3,-0.122,Alto,Medio,Alto,Medio,507.541,Alto,187
3,5,0,0,1,450.101,505.846,583.349,0,1,0,2,-1.332,Medio,Alto,Alto,Medio,513.099,Alto,188
4,4,0,1,1,572.576,669.737,561.527,0,1,1,2,0.622,Alto,Alto,Alto,Alto,601.28,Alto,189
5,5,0,0,1,458.916,547.042,519.618,1,1,1,3,0.458,Medio,Alto,Alto,Alto,508.525,Alto,190
4,4,1,0,1,531.13,526.731,564.631,1,1,1,0,0.535,Alto,Alto,Alto,Alto,540.831,Alto,191
4,4,0,1,1,546.722,473.93,516.574,1,1,1,1,-0.027,Alto,Medio,Alto,Alto,512.409,Alto,192
3,2,1,1,1,435.646,556.699,494.459,0,1,0,2,-1.652,Medio,Alto,Alto,Medio,495.601,Alto,193
4,4,0,0,1,548.967,600.614,613.579,1,1,1,2,0.596,Alto,Alto,Alto,Alto,587.72,Alto,194
5,5,1,1,1,545.429,548.86,583.89,0,1,1,2,1.102,Alto,Alto,Alto,Alto,559.393,Alto,195
4,3,0,1,1,472.823,493.495,469.783,1,1,1,2,-0.918,Medio,Medio,Medio,Medio,478.7,Alto,196
5,4,1,0,1,531.865,556.153,534.105,1,1,0,2,-1.211,Alto,Alto,Alto,Medio,540.708,Alto,197
5,5,1,0,1,496.332,590.52,519.097,1,1,1,3,0.615,Alto,Alto,Alto,Alto,535.316,Alto,198
4,4,1,1,1,424.213,547.846,528.32,0,1,0,3,0.436,Medio,Alto,Alto,Alto,500.126,Alto,199
5,5,0,1,1,477.488,510.513,527.879,0,1,1,3,1.306,Medio,Alto,Alto,Alto,505.293,Alto,200
5,5,1,1,1,464.073,619.2,499.029,1,1,0,2,0.846,Medio,Alto,Alto,Alto,527.434,Alto,201
4,4,1,1,0,456.382,571.474,526.989,0,1,0,1,0.172,Medio,Alto,Alto,Alto,518.282,Alto,202
4,4,1,1,1,452.379,498.857,508.1,0,1,1,3,0.368,Medio,Alto,Alto,Alto,486.445,Alto,203
4,3,0,0,1,472.253,512.103,532.803,0,1,1,1,-0.788,Medio,Alto,Alto,Medio,505.72,Alto,204
2,3,1,0,1,463.146,494.011,513.104,1,1,0,1,-2.369,Medio,Medio,Alto,Bajo,490.087,Alto,205
2,5,1,0,1,477.209,502.938,457.36,1,1,0,2,-0.717,Medio,Alto,Medio,Medio,479.169,Alto,206
4,4,0,0,1,455.186,540.897,490.624,0,1,1,1,-1.874,Medio,Alto,Alto,Medio,495.569,Alto,207
5,3,0,1,1,450.768,525.691,581.57,1,1,1,2,-0.101,Medio,Alto,Alto,Medio,519.343,Alto,208
5,5,0,1,1,493.616,431.002,535.838,1,1,1,2,0.875,Medio,Medio,Alto,Alto,486.819,Alto,209
3,4,1,0,1,488.594,479.405,513.966,1,1,1,1,-1.445,Medio,Medio,Alto,Medio,493.988,Alto,210
4,5,0,1,1,530.031,501.641,600.474,1,1,0,4,0.553,Alto,Alto,Alto,Alto,544.049,Alto,211
3,3,1,0,1,486.03,571.072,504.073,0,0,0,1,-2.503,Medio,Alto,Alto,Bajo,520.392,Alto,212
3,4,0,0,1,531.873,528.642,472.318,1,1,1,1,-1.101,Alto,Alto,Medio,Medio,510.944,Alto,213
4,5,0,1,1,454.545,488.474,502.34,0,1,1,2,-0.562,Medio,Medio,Alto,Medio,481.786,Alto,214
5,5,1,1,1,544.032,634.763,591.537,1,1,1,3,0.982,Alto,Alto,Alto,Alto,590.111,Alto,215
5,5,1,0,1,433.882,522.782,514.662,0,1,1,1,0.034,Medio,Alto,Alto,Alto,490.442,Alto,216
4,4,1,0,1,479.785,557.801,525.28,1,1,1,2,-1.174,Medio,Alto,Alto,Medio,520.955,Alto,217
4,4,0,0,1,486.65,575.973,469.477,1,1,0,2,0.349,Medio,Alto,Medio,Alto,510.7,Alto,218
5,4,1,1,1,473.226,512.276,482.593,1,1,1,3,1.458,Medio,Alto,Medio,Alto,489.365,Alto,219
4,5,1,1,1,447.388,550.437,491.334,1,1,1,2,-0.108,Medio,Alto,Alto,Medio,496.386,Alto,220
4,3,1,1,1,498.404,476.748,465.81,0,1,1,1,-0.114,Alto,Medio,Medio,Medio,480.321,Alto,221
3,2,1,1,1,480.766,540.882,490.034,1,1,1,1,-0.992,Medio,Alto,Alto,Medio,503.894,Alto,222
4,5,0,1,1,568.176,627.492,625.733,0,1,1,3,-0.14,Alto,Alto,Alto,Medio,607.134,Alto,223
4,5,0,0,1,600.132,577.769,606.178,1,1,1,2,0.827,Alto,Alto,Alto,Alto,594.693,Alto,224
4,5,0,1,1,496.702,473.6,505.425,1,1,1,2,1.0,Alto,Medio,Alto,Alto,491.909,Alto,225
3,3,1,0,1,492.236,605.101,526.824,1,1,1,3,-0.864,Medio,Alto,Alto,Medio,541.387,Alto,226
